white_elo,black_elo,eco,opening,result,num_plies,time_control
1582,1658,C50,Italian Game: Rosentreter Gambit,0-1,38,600+0
2228,2212,D30,Queen's Gambit Declined,0-1,36,600+0
1572,1518,B27,Sicilian Defense: Hyperaccelerated Dragon,0-1,48,600+0
1039,1137,B01,"Scandinavian Defense: Main Line, Mieses Variation",0-1,29,600+0
1380,1407,B11,"Caro-Kann Defense: Two Knights Attack, Mindeno Variation",1-0,79,600+0
1353,1313,D02,Queen's Pawn Game: Chigorin Variation,1-0,13,600+0
1447,1490,D01,Richter-Veresov Attack,0-1,18,600+0
1175,1137,B00,Pirc Defense,1-0,69,600+0
1720,1679,C21,Danish Gambit Accepted: Classical Defense,0-1,24,180+0
2045,2139,A80,Dutch Defense,1-0,75,180+0
1765,1743,A06,Zukertort Opening: Tennison Gambit,0-1,106,180+0
1271,1439,A40,Englund Gambit Declined,1-0,115,300+0
1476,1439,C00,French Defense,1-0,113,300+0
2024,1991,B20,Sicilian Defense,0-1,72,180+2
1281,1231,C80,Ruy Lopez: Open,0-1,22,180+2
1361,1442,C53,Italian Game: Classical Variation,1-0,67,180+2
2042,2029,E16,Queen's Indian Defense: Capablanca Variation,1-0,109,180+2
1753,1807,A48,London System,1-0,53,180+2
1164,1225,C65,"Ruy Lopez: Berlin Defense, Anti-Berlin Variation",0-1,64,180+2
1749,1653,A40,Queen's Pawn Game: Modern Defense,1-0,49,180+2
1827,1855,B00,Owen Defense,1-0,107,180+2
2283,2146,B21,Sicilian Defense: Smith-Morra Gambit,1/2-1/2,46,180+2
1629,1602,C77,"Ruy Lopez: Morphy Defense, Tarrasch Variation",1-0,47,180+2
982,926,C20,Center Game,1-0,37,180+2
1500,1527,A46,"Queen's Pawn Game: Veresov Attack, Classical Defense",1-0,95,180+2
997,1067,A22,"English Opening: King's English Variation, Two Knights Variation",0-1,108,180+2
1959,1961,C52,"Italian Game: Evans Gambit, Main Line",0-1,28,180+2
1721,1681,B01,Scandinavian Defense: Mieses-Kotroc Variation,1-0,19,180+0
2106,1305,D11,Slav Defense: Modern Line,1-0,71,300+3
2077,2065,A43,Benoni Defense: French Benoni,0-1,120,300+0
1364,1366,C45,Scotch Game,0-1,74,300+0
1013,998,B01,Scandinavian Defense,1-0,63,300+0
845,861,A40,English Defense,0-1,70,300+0
2148,2274,D05,Queen's Pawn Game: Colle System,1-0,65,300+0
1557,1546,C21,Center Game: Kieseritzky Variation,1-0,75,300+0
1717,1753,C41,Philidor Defense,1-0,57,300+0
1948,1926,A40,Horwitz Defense,0-1,54,300+0
1770,1773,A30,English Opening: Symmetrical Variation,0-1,68,300+0
1288,1313,C00,French Defense: Schlechter Variation,1-0,95,300+0
2250,2383,B23,Sicilian Defense: Closed,0-1,92,60+0
1893,1893,A01,Nimzo-Larsen Attack: Modern Variation,0-1,85,300+0
1667,1716,C29,Vienna Game: Vienna Gambit,0-1,104,300+3
670,741,A00,Van't Kruijs Opening,0-1,36,300+3
1396,1306,C50,Italian Game: Anti-Fried Liver Defense,0-1,52,300+3
1891,1774,B20,Sicilian Defense: Bowdler Attack,1-0,109,300+3
1609,1531,C01,French Defense: Exchange Variation,0-1,62,120+1
1781,1748,B00,Pirc Defense,0-1,50,120+1
1271,1312,B01,Scandinavian Defense: Panov Transfer,0-1,76,120+1
1489,1491,D03,Queen's Pawn Game: Torre Attack,1-0,63,120+1
2224,2200,D31,Queen's Gambit Declined: Queen's Knight Variation,1/2-1/2,79,120+1
1391,1406,C00,French Defense: St. George Defense,1-0,137,120+1
1870,1920,C42,Petrov's Defense: Italian Variation,1-0,83,120+1
2490,2301,C33,"King's Gambit Accepted: Bishop's Gambit, Maurian Defense",1-0,75,120+1
2081,2115,C31,King's Gambit Declined: Falkbeer Countergambit Accepted,0-1,90,120+1
1946,1959,A40,Horwitz Defense,0-1,98,120+1
1991,2015,A48,East Indian Defense,1-0,63,120+1
1831,1857,A45,Indian Defense: Accelerated London System,0-1,54,120+1
1004,1018,C65,"Ruy Lopez: Berlin Defense, Anti-Berlin Variation",0-1,28,120+1
2520,2551,B00,Nimzowitsch Defense: Mikenas Variation,0-1,86,60+0
1442,1462,D02,Queen's Pawn Game: Zukertort Variation,1-0,51,300+0
1789,1852,A40,Englund Gambit,1-0,41,300+0
1909,1911,A01,Nimzo-Larsen Attack: Dutch Variation,1-0,67,30+0
1584,1035,A40,Mikenas Defense,0-1,38,30+0
1369,853,?,?,0-1,0,300+0
2024,2044,B34,"Sicilian Defense: Accelerated Dragon, Modern Variation",0-1,52,180+2
1742,1969,A10,English Opening: Great Snake Variation,1-0,51,180+2
1897,1993,D01,Rapport-Jobava System,0-1,134,180+2
1830,1587,B21,Sicilian Defense: Smith-Morra Gambit,1-0,87,180+2
1932,1908,C64,Ruy Lopez: Classical Variation,1-0,97,120+1
2045,2312,A03,Bird Opening: Dutch Variation,0-1,76,30+0
1323,1300,C36,King's Gambit Accepted: Abbazia Defense,0-1,44,60+0
1669,1672,B01,Scandinavian Defense: Mieses-Kotroc Variation,1-0,79,60+0
1845,1920,D00,Queen's Pawn Game: Accelerated London System,1-0,87,60+0
2114,2107,D35,Queen's Gambit Declined: Normal Defense,1-0,57,60+0
1928,1921,C40,Gunderam Defense,0-1,62,60+0
2285,2277,B40,Sicilian Defense: French Variation,1-0,63,60+0
1986,1979,B00,Owen Defense,0-1,118,60+0
1549,1600,A41,Old Indian Defense,0-1,86,60+0
2030,2013,C44,Scotch Game: Göring Gambit,1-0,41,60+0
1702,1673,B00,"Nimzowitsch Defense: Scandinavian Variation, Advance Variation",1-0,61,60+0
2773,2661,B90,"Sicilian Defense: Najdorf Variation, English Attack",1-0,53,60+0
1775,1770,D07,Queen's Gambit Declined: Chigorin Defense,1-0,93,60+0
1446,1533,A40,Englund Gambit Declined: Reversed French,1-0,97,60+0
2079,2101,C00,French Defense: Franco-Sicilian Defense,0-1,66,60+0
1296,1235,C44,Scotch Game,0-1,44,60+0
1330,1387,B30,Sicilian Defense: Old Sicilian,1-0,41,60+0
1445,1423,A41,"Rat Defense: English Rat, Lisbon Gambit",1-0,33,60+0
2425,2452,A40,English Defense,1-0,169,60+0
1922,1850,A45,Indian Defense: Accelerated London System,1-0,51,60+0
1897,1835,B10,Caro-Kann Defense,0-1,78,600+0
2043,1966,D20,"Queen's Gambit Accepted: Central Variation, Greco Variation",1-0,123,600+0
1717,1655,B12,Caro-Kann Defense: Advance Variation,0-1,68,600+0
1582,1603,A00,Van't Kruijs Opening,0-1,116,600+0
1245,1279,C41,Philidor Defense,1-0,8,600+0
1743,1722,D00,Queen's Pawn Game: Accelerated London System,0-1,52,600+0
935,951,C20,King's Pawn Game: Napoleon Attack,0-1,16,600+0
801,910,B30,Sicilian Defense: Old Sicilian,0-1,88,600+0
1064,829,A00,Clemenz Opening,0-1,66,600+0
2066,2149,D02,Queen's Pawn Game: Zukertort Variation,0-1,54,600+0
1441,1486,C50,Italian Game: Hungarian Defense,1-0,25,600+0
1001,919,D06,Queen's Gambit Declined: Marshall Defense,0-1,38,300+0
2034,2262,A40,Horwitz Defense,0-1,68,60+1
1449,1408,C50,Italian Game,1-0,15,900+15
1566,1524,B01,Scandinavian Defense: Main Line,1-0,31,0+1
1695,1772,B40,Sicilian Defense: French Variation,0-1,46,180+2
1911,1914,A40,Queen's Pawn Game,0-1,64,180+0
1897,1870,C00,French Defense: King's Indian Attack,1-0,87,180+0
1674,1674,A40,Englund Gambit: Stockholm Variation,0-1,58,180+0
1764,1831,A03,Bird Opening: Dutch Variation,1-0,99,60+0
1550,1506,C20,English Opening: The Whale,0-1,66,60+0
2049,1951,B00,Duras Gambit,1-0,85,60+0
1758,1759,A43,Benoni Defense: Old Benoni,0-1,66,60+0
1385,1419,A45,Queen's Pawn Game: Chigorin Variation,1-0,33,60+0
2211,2074,D10,Slav Defense: Exchange Variation,1-0,57,60+0
2620,2432,C01,French Defense: Exchange Variation,1-0,97,60+0
1464,1501,A40,Englund Gambit: Soller Gambit,0-1,74,60+0
1625,1590,B01,Scandinavian Defense,1-0,97,60+0
2573,2756,A46,Indian Defense: Knights Variation,0-1,92,60+0
1626,1640,B01,Scandinavian Defense,1-0,83,60+0
1335,1264,A06,Zukertort Opening: Tennison Gambit,0-1,36,60+0
1709,1748,A00,Anderssen's Opening,0-1,44,60+0
2333,2428,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,0-1,50,60+0
2257,2284,B06,Modern Defense,1-0,95,60+0
1888,1908,A00,Mieses Opening: Reversed Rat,0-1,11,60+0
799,893,A40,Englund Gambit Declined: Reversed French,1-0,31,60+0
1454,1429,B01,Scandinavian Defense: Valencian Variation,1-0,29,60+0
1845,1861,A00,Van Geet Opening,1/2-1/2,112,60+0
1670,1497,A00,Van't Kruijs Opening,1-0,51,15+0
1600,1608,D30,Queen's Gambit Declined,0-1,96,300+3
1514,1472,C55,"Italian Game: Two Knights Defense, Modern Bishop's Opening",1-0,65,300+3
1797,1796,B10,Caro-Kann Defense,0-1,70,300+3
1746,1734,A04,Zukertort Opening: Slav Invitation,0-1,104,300+3
926,952,C55,Italian Game: Two Knights Defense,1-0,13,300+3
1523,1567,C62,Ruy Lopez: Steinitz Defense,1-0,140,300+3
1273,1286,C44,Scotch Game: Lolli Variation,0-1,80,300+3
1339,1212,C45,Scotch Game: Classical Variation,1-0,65,300+3
832,820,B06,Modern Defense,1-0,51,300+3
1045,1039,B01,Van Geet Opening: Grünfeld Defense,1-0,51,300+3
1665,1654,B06,Modern Defense: Two Knights Variation,0-1,106,300+3
2231,2231,A40,Queen's Pawn Game: Modern Defense,1-0,67,60+0
1804,1778,A50,Indian Defense: Normal Variation,0-1,70,600+0
1772,1756,B12,"Caro-Kann Defense: Advance Variation, Botvinnik-Carls Defense",0-1,66,180+0
1998,2057,A30,English Opening: Symmetrical Variation,1-0,107,600+0
2011,1910,A00,Van't Kruijs Opening,1-0,59,600+0
1750,1742,A40,Englund Gambit: Main Line,0-1,116,600+0
1455,1364,A21,"English Opening: King's English Variation, Reversed Sicilian",0-1,58,600+0
1174,1308,C41,Philidor Defense,0-1,54,600+0
1342,1341,C44,King's Knight Opening: Normal Variation,1-0,54,600+0
884,897,B00,Pirc Defense,0-1,54,600+0
1091,1100,C53,Italian Game: Classical Variation,0-1,112,600+0
1458,1467,B20,Sicilian Defense: Bowdler Attack,1-0,17,600+0
1878,1888,C41,Philidor Defense: Exchange Variation,0-1,132,600+0
1543,1470,A40,Queen's Pawn Game,1-0,53,600+0
839,824,A00,Van't Kruijs Opening,0-1,38,600+0
1321,1280,D00,Queen's Pawn Game,0-1,112,600+0
1852,1890,E10,Indian Defense: Anti-Nimzo-Indian,0-1,64,60+1
1452,1350,A10,English Opening: Anglo-Scandinavian Defense,1-0,33,300+0
2364,2452,B32,Sicilian Defense: Löwenthal Variation,0-1,58,60+0
1530,1471,D06,Queen's Gambit Declined: Austrian Defense,1-0,41,120+0
2052,2016,C41,Philidor Defense,1-0,53,300+0
1099,975,C34,King's Gambit Accepted: Schallopp Defense,1-0,47,300+0
1492,1494,C30,King's Gambit,1/2-1/2,136,300+0
1326,1388,B00,Ware Defense,1/2-1/2,89,300+0
1406,1480,A42,Modern Defense: Kotov Variation,0-1,62,300+0
1776,1823,D02,"Queen's Gambit Declined: Baltic Defense, Pseudo-Slav",0-1,78,300+0
1710,1658,D31,Queen's Gambit Declined: Janowski Variation,0-1,58,300+0
940,882,C64,Ruy Lopez: Classical Variation,1-0,43,300+0
1124,1112,C20,King's Pawn Game: Leonardis Variation,0-1,72,300+0
1145,1131,D06,Queen's Gambit Declined: Marshall Defense,0-1,56,300+0
1173,842,C47,Four Knights Game: Italian Variation,1-0,61,600+5
830,859,C40,King's Knight Opening,1-0,107,600+5
753,793,C24,Bishop's Opening: Berlin Defense,0-1,64,600+5
701,554,A40,Queen's Pawn Game,1-0,1,600+5
1169,1251,A21,"English Opening: King's English Variation, Reversed Sicilian",1-0,9,600+5
2257,2368,D05,Queen's Pawn Game: Colle System,1-0,93,60+0
1772,1710,A53,Old Indian Defense,0-1,64,60+0
1288,1261,A46,Indian Defense: Wade-Tartakower Defense,1-0,61,60+0
1945,1943,A00,Saragossa Opening,0-1,92,60+0
1864,1915,A46,"Queen's Pawn Game: Veresov Attack, Classical Defense",1-0,103,60+0
1559,1623,B06,Modern Defense,0-1,32,60+0
1070,1068,C20,King's Pawn Game: Leonardis Variation,0-1,104,60+0
2016,1971,B40,"Sicilian Defense: Delayed Alapin Variation, with e6",0-1,26,60+0
2040,2059,C43,Petrov's Defense: Modern Attack,0-1,54,60+0
1465,1478,D02,Queen's Pawn Game: Zukertort Variation,1-0,65,60+0
1684,1672,D00,Queen's Pawn Game,0-1,68,60+0
2154,2140,A10,English Opening: Anglo-Scandinavian Defense,0-1,12,60+0
1140,1172,B06,Modern Defense,1-0,61,60+0
1800,1777,B00,Pirc Defense,1-0,103,60+0
1849,1856,A13,English Opening: Agincourt Defense,0-1,62,60+0
2252,2251,C41,Philidor Defense,1-0,75,60+0
1628,1629,B00,Owen Defense,0-1,64,60+0
1395,1305,B00,Nimzowitsch Defense,0-1,48,60+0
2165,2317,C22,Center Game: Paulsen Attack Variation,0-1,76,60+0
2214,2252,C50,Italian Game: Blackburne-Kostić Gambit,0-1,52,180+0
1277,1250,C47,Four Knights Game,0-1,64,600+0
1539,1541,B00,Pirc Defense,1/2-1/2,122,600+0
1910,1911,A82,Rat Defense: Balogh Defense,0-1,70,600+0
1216,1225,C44,Scotch Game: Scotch Gambit,1-0,29,600+0
1053,1002,C41,Philidor Defense: Philidor Countergambit,1-0,47,600+0
1464,1521,C30,King's Gambit Declined: Queen's Knight Defense,0-1,34,600+0
2357,2393,A45,Paleface Attack,0-1,46,600+0
1441,1500,C47,"Four Knights Game: Italian Variation, Noa Gambit",0-1,20,600+0
2017,1977,A40,Horwitz Defense,0-1,76,15+0
1764,1877,A04,Zukertort Opening: Sicilian Invitation,0-1,140,180+2
1676,1648,B50,Sicilian Defense: Modern Variations,0-1,50,180+2
1621,1600,B00,Nimzowitsch Defense,0-1,102,180+1
1526,2145,A06,Zukertort Opening: Old Indian Attack,0-1,70,180+1
1430,1371,C23,Bishop's Opening,0-1,22,120+1
1416,901,B02,Alekhine Defense,1-0,53,120+1
934,1070,B00,Pirc Defense,1-0,7,120+1
1245,1296,B10,Caro-Kann Defense,0-1,90,120+1
2134,1980,B50,"Sicilian Defense: Modern Variations, Anti-Qxd4 Move Order",1-0,25,420+2
1656,1425,C44,Scotch Game: Scotch Gambit,0-1,70,420+2
1405,1074,C50,"Italian Game: Giuoco Pianissimo, Italian Four Knights Variation",1-0,83,420+2
1379,1616,B10,Caro-Kann Defense,1-0,81,120+5
1379,1425,B21,Sicilian Defense: Smith-Morra Gambit,0-1,84,60+1
1752,1758,B28,"Sicilian Defense: O'Kelly Variation, Yerevan System",1-0,67,300+0
1437,1453,B00,"Nimzowitsch Defense: Scandinavian Variation, Advance Variation",1-0,55,180+0
827,876,B01,Scandinavian Defense: Mieses-Kotroc Variation,0-1,60,60+0
949,972,A40,Queen's Pawn Game,1-0,69,60+0
2953,2737,B06,Modern Defense: Norwegian Defense,1/2-1/2,60,60+0
2244,2262,A00,Barnes Opening,1-0,81,60+0
1839,1819,E61,King's Indian Defense,0-1,92,60+0
1770,1771,B00,Pirc Defense,1-0,119,60+0
1489,1495,B00,Pirc Defense,0-1,64,60+0
1274,1379,B33,"Sicilian Defense: Lasker-Pelikan Variation, Exchange Variation",1-0,29,60+0
1787,1774,D00,Queen's Pawn Game: Levitsky Attack,0-1,62,60+0
1690,1752,C01,French Defense: Exchange Variation,1-0,45,60+0
2063,2127,A02,Bird Opening,0-1,128,60+0
1849,1940,A00,Saragossa Opening,0-1,62,60+0
1616,1642,D04,Queen's Pawn Game: Colle System,1-0,61,60+0
1504,1515,B00,Nimzowitsch Defense,1-0,49,60+0
1323,1132,C41,Philidor Defense,0-1,16,60+0
2534,2360,D06,Queen's Gambit Declined: Marshall Defense,1-0,91,60+0
1412,1405,A40,Englund Gambit Declined,0-1,60,60+0
1051,1113,C46,Three Knights Opening,0-1,50,60+0
2230,2391,A57,Benko Gambit,0-1,56,30+0
2027,2013,B07,Modern Defense: Geller's System,0-1,88,180+0
1456,1497,C00,French Defense: Franco-Sicilian Defense,0-1,138,180+0
1864,1882,A42,Modern Defense: Averbakh System,1-0,47,180+0
1698,1719,B06,Modern Defense,0-1,56,180+0
2300,2181,B20,Sicilian Defense,0-1,68,180+0
1669,1591,B01,Scandinavian Defense: Main Line,0-1,68,180+0
1841,1860,D35,Queen's Gambit Declined: Normal Defense,0-1,64,180+0
1956,1991,B00,Duras Gambit,0-1,72,180+0
1590,1536,D20,Queen's Gambit Accepted,1-0,93,180+0
2059,2069,A40,Englund Gambit,1-0,9,180+0
931,847,C24,Bishop's Opening: Berlin Defense,1-0,37,180+0
1076,1055,A40,Horwitz Defense,0-1,60,180+0
1397,1387,B01,Scandinavian Defense: Mieses-Kotroc Variation,1-0,75,180+0
2422,2407,B46,Sicilian Defense: Taimanov Variation,1-0,47,180+0
1598,1327,C44,Scotch Game,0-1,22,180+0
1819,1837,A43,Benoni Defense: Old Benoni,0-1,42,180+0
1905,1900,D00,Queen's Pawn Game: Accelerated London System,1-0,89,180+0
1922,1948,C41,Philidor Defense: Exchange Variation,1-0,87,180+0
2103,2088,A22,"English Opening: King's English Variation, Two Knights Variation",1-0,71,180+0
1903,1875,D13,Slav Defense: Exchange Variation,1-0,61,300+0
1280,1369,B32,Sicilian Defense: Löwenthal Variation,1/2-1/2,68,300+0
1438,1548,A40,Queen's Pawn Game,1-0,35,300+0
1392,1500,C65,Ruy Lopez: Berlin Defense,1-0,37,300+0
1833,1829,B00,Pirc Defense,1-0,43,300+0
2080,2014,A41,Queen's Pawn Game,1-0,113,300+0
1551,1581,C25,Vienna Game: Anderssen Defense,1-0,13,300+0
1766,1758,C41,Philidor Defense,1-0,61,300+0
1746,1738,A20,English Opening: King's English Variation,0-1,58,300+0
1529,1525,A00,Van't Kruijs Opening,0-1,74,300+0
1701,1684,C41,Philidor Defense,1-0,149,300+0
1420,1402,B21,Sicilian Defense: Smith-Morra Gambit,0-1,42,300+0
1816,1814,D20,Queen's Gambit Accepted: Old Variation,0-1,76,300+0
1004,1007,C41,Philidor Defense,0-1,70,300+0
1646,1600,A45,Indian Defense: Accelerated London System,1-0,165,300+0
1962,1967,A00,Hungarian Opening: Slav Formation,1-0,53,120+1
1720,1683,B06,Modern Defense,1/2-1/2,98,15+0
1685,1574,C10,French Defense: Rubinstein Variation,1-0,123,600+5
1045,1052,C44,Ponziani Opening: Jaenisch Counterattack,0-1,58,600+5
1434,1496,B30,Sicilian Defense: Old Sicilian,0-1,4,600+5
835,935,C43,Petrov's Defense: Modern Attack,0-1,56,600+5
529,605,A00,Kádas Opening,1-0,127,600+5
1267,1283,A10,English Opening: Great Snake Variation,1-0,29,600+5
1291,1288,C45,Scotch Game,0-1,24,600+5
2078,2123,B01,Scandinavian Defense,0-1,72,600+5
1745,1794,B07,Czech Defense,0-1,76,600+5
2101,2070,B20,Sicilian Defense: Bowdler Attack,0-1,70,60+0
1885,1770,A01,Nimzo-Larsen Attack,1-0,47,15+0
1287,1272,A06,Zukertort Opening: Tennison Gambit,1-0,65,60+0
2272,2429,A02,Bird Opening,1-0,39,60+0
1720,1709,D00,Blackmar-Diemer Gambit Declined: O'Kelly Defense,1-0,31,60+0
1762,1885,B22,Sicilian Defense: Alapin Variation,1-0,61,60+0
2095,2129,B06,Modern Defense,1-0,37,60+0
2173,2234,B10,Caro-Kann Defense,1-0,81,60+0
2001,2036,A40,Queen's Pawn Game: Modern Defense,0-1,56,60+0
1708,1706,C00,French Defense: La Bourdonnais Variation,0-1,50,60+0
2094,2100,A40,Englund Gambit Declined: Reversed French,1-0,25,60+0
1431,1482,C25,Vienna Game,1-0,67,60+0
1332,1389,B50,Sicilian Defense: Modern Variations,0-1,60,60+0
2074,2066,C45,"Scotch Game: Classical Variation, Intermezzo Variation",1-0,65,60+0
1619,1615,A06,Zukertort Opening: Old Indian Attack,0-1,64,60+0
1647,1692,A00,Van't Kruijs Opening,0-1,72,60+0
1303,1255,B01,Scandinavian Defense: Valencian Variation,0-1,72,60+0
2516,2435,A43,Benoni Defense: Old Benoni,1-0,83,60+0
1902,1921,A13,English Opening: Agincourt Defense,0-1,42,60+0
2420,2359,A00,Van't Kruijs Opening,1-0,69,60+0
2116,2150,B23,"Sicilian Defense: Closed, Traditional",0-1,12,60+0
2074,2097,C21,Center Game: Kieseritzky Variation,0-1,116,60+0
2129,2114,A40,Englund Gambit,0-1,46,60+0
1707,1713,A40,Englund Gambit Declined: Reversed Krebs,1-0,55,60+0
1564,1534,D02,Queen's Pawn Game: London System,0-1,112,60+0
1620,1599,A00,Van Geet Opening,1-0,41,60+0
2338,2243,C25,Vienna Game,1-0,67,60+0
1101,1194,A00,Van't Kruijs Opening,0-1,60,60+0
1861,1886,D02,Queen's Pawn Game: Zukertort Variation,0-1,120,60+0
2101,1581,A11,English Opening: Caro-Kann Defensive System,1-0,59,60+0
1642,1818,B01,Scandinavian Defense: Modern Variation,1-0,65,60+0
2056,1825,D06,Queen's Gambit Declined: Austrian Defense,0-1,24,60+0
1498,1660,B00,King's Pawn Game,1-0,1,60+0
2099,2224,B23,Sicilian Defense: Grand Prix Attack,0-1,94,600+0
1828,1907,B20,"Sicilian Defense: Wing Gambit, Marshall Variation",0-1,62,600+0
1679,1805,D01,Rapport-Jobava System,1-0,35,600+0
1653,1657,A01,Nimzo-Larsen Attack,0-1,60,600+0
1396,1599,B12,"Caro-Kann Defense: Advance Variation, Van der Wiel Attack",0-1,62,600+0
1947,1884,C60,Ruy Lopez,1-0,43,300+0
870,808,C44,King's Knight Opening: Normal Variation,1-0,19,900+10
2504,1750,C78,Ruy Lopez: Morphy Defense,1-0,22,900+10
1814,1779,C57,"Italian Game: Two Knights Defense, Knight Attack, Normal Variation",1-0,55,900+10
1149,1247,B00,Pirc Defense,0-1,60,900+10
1404,1402,C00,French Defense: Steiner Variation,1-0,137,900+10
1038,935,C42,Petrov's Defense: Three Knights Game,0-1,50,900+10
2015,2002,D21,Queen's Gambit Accepted: Normal Variation,*,33,-
1429,1445,D44,Semi-Slav Defense Accepted,0-1,66,120+1
1881,1883,A00,Polish Opening,0-1,64,120+1
1575,1519,D00,Queen's Pawn Game: Accelerated London System,1-0,33,120+1
1790,1847,B02,Alekhine Defense,1-0,127,120+1
1664,1746,C41,Philidor Defense,1-0,35,120+1
1174,1130,D82,Grünfeld Defense: Brinckmann Attack,1-0,87,120+1
1639,1640,B44,Sicilian Defense: Taimanov Variation,1-0,23,120+1
1129,1124,C21,Danish Gambit,1-0,121,120+1
1993,2105,C63,"Ruy Lopez: Schliemann Defense, Exchange Variation",0-1,96,120+1
1915,1852,A06,Zukertort Opening: Reversed Mexican Defense,1-0,65,120+1
1658,1594,D01,Rapport-Jobava System,1-0,21,120+1
1352,1263,C01,"French Defense: Exchange Variation, Svenonius Variation",1-0,28,120+1
1251,1256,C51,Italian Game: Evans Gambit Declined,0-1,30,120+1
985,1029,C20,Center Game,1-0,33,120+1
1369,1387,D02,"Queen's Pawn Game: London System, with e6",1-0,61,120+1
1954,2207,B10,Caro-Kann Defense: Two Knights Attack,1-0,96,300+5
1529,1492,C22,Center Game: Normal Variation,0-1,54,300+0
1245,1253,A00,Van't Kruijs Opening,0-1,60,300+0
1474,1450,C44,Ponziani Opening: Jaenisch Counterattack,1-0,107,180+0
1285,1309,C47,Four Knights Game: Italian Variation,1-0,45,180+0
2281,2258,A04,Zukertort Opening: Black Mustang Defense,1-0,49,180+0
1671,1651,D35,Queen's Gambit Declined: Exchange Variation,1-0,67,180+0
1502,1508,D01,Rapport-Jobava System,0-1,48,180+0
1999,2022,B10,Caro-Kann Defense: Hillbilly Attack,0-1,56,180+0
1439,1431,C50,Italian Game: Anti-Fried Liver Defense,1-0,65,180+0
1121,1149,A40,Horwitz Defense,1-0,53,180+0
1798,1853,A40,Queen's Pawn Game: Modern Defense,0-1,76,180+0
1496,1479,A41,Old Indian Defense,0-1,68,180+0
1516,1531,C40,King's Pawn Game: Busch-Gass Gambit,0-1,34,180+0
1579,1588,A40,Englund Gambit: Stockholm Variation,1-0,103,180+0
1916,1915,B20,Sicilian Defense: Bowdler Attack,0-1,56,180+0
962,1106,A46,"Queen's Pawn Game: Veresov Attack, Classical Defense",0-1,66,180+0
1715,1793,B70,Sicilian Defense: Dragon Variation,0-1,76,180+0
2205,2162,D00,Queen's Pawn Game: Hübsch Gambit,0-1,60,300+0
855,742,A00,Van Geet Opening: Reversed Nimzowitsch,1-0,47,300+0
1832,1834,C00,French Defense: Steiner Variation,1-0,91,300+0
1511,1511,B01,Scandinavian Defense: Mieses-Kotroc Variation,1-0,81,300+0
1729,1747,B08,Pirc Defense: Classical Variation,1-0,137,300+0
1811,1827,B00,Pirc Defense,0-1,66,60+0
2119,2106,A40,Mikenas Defense,0-1,98,60+0
1419,1493,A40,Queen's Pawn Game: Modern Defense,0-1,70,60+0
1183,1097,C78,"Ruy Lopez: Morphy Defense, Arkhangelsk Variation",1-0,45,60+0
2235,2208,A53,"Old Indian Defense: Czech Variation, with Nf3",1-0,43,60+0
2476,2335,A04,Zukertort Opening: Sicilian Invitation,1-0,75,60+0
2142,2139,A00,Van't Kruijs Opening,1-0,19,60+0
1576,1596,A46,Indian Defense: Wade-Tartakower Defense,0-1,64,60+0
2060,2049,A80,Dutch Defense,1-0,93,60+0
2071,2062,A06,Zukertort Opening: Old Indian Attack,0-1,38,60+0
2266,2291,B50,Sicilian Defense: Modern Variations,1-0,65,60+0
1027,1013,C40,Latvian Gambit,1-0,53,60+0
2714,2802,B00,St. George Defense,1/2-1/2,123,60+0
1208,1207,B10,Caro-Kann Defense,1-0,83,60+0
2179,2174,A04,Zukertort Opening: Queen's Gambit Invitation,0-1,84,60+0
2156,2166,A01,Nimzo-Larsen Attack: Modern Variation,0-1,50,60+0
1705,1790,C42,Petrov's Defense: Italian Variation,0-1,54,60+0
2153,2173,A70,"Benoni Defense: Classical Variation, New York Variation",0-1,76,60+0
1294,1240,C00,French Defense: King's Indian Attack,0-1,52,60+0
1561,1612,C41,Philidor Defense,0-1,108,180+2
1490,1383,B20,Sicilian Defense: Bowdler Attack,1-0,43,180+2
1623,1620,B00,Pirc Defense,0-1,58,180+2
1985,1895,D85,Grünfeld Defense: Exchange Variation,0-1,236,180+2
1861,1816,D00,Queen's Pawn Game: Accelerated London System,1-0,65,180+2
1775,1779,A43,Benoni Defense: Old Benoni,1-0,111,180+2
1651,1624,B21,Sicilian Defense: Smith-Morra Gambit Accepted,0-1,18,180+2
2083,2037,B09,"Pirc Defense: Austrian Attack, Dragon Formation",1-0,75,180+2
1051,1075,A00,Hungarian Opening,0-1,44,180+2
2106,2107,B15,Caro-Kann Defense: Main Line,1-0,53,180+2
2144,2009,C64,"Ruy Lopez: Classical Variation, Central Variation",0-1,58,180+2
830,957,C67,"Ruy Lopez: Berlin Defense, Rio Gambit Accepted",0-1,40,180+2
1232,1287,A00,Polish Opening: Outflank Variation,1-0,41,180+2
1515,1557,B20,Sicilian Defense: Bowdler Attack,0-1,86,180+2
1782,1728,B21,Sicilian Defense: Smith-Morra Gambit,0-1,34,180+0
1657,1709,D00,Queen's Pawn Game,1-0,74,180+0
2191,2135,A00,Anderssen's Opening,0-1,84,180+0
2037,2045,C64,Ruy Lopez: Classical Variation,1-0,103,180+0
1931,1954,D30,Queen's Gambit Declined,1-0,23,180+0
1566,1618,B01,Scandinavian Defense: Mieses-Kotroc Variation,0-1,133,180+0
